task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
4,1888,hu-worker-c27,65/20d7f7,nf-6520d7f7905e62437a61cf62bafef955,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1715617910244,1715617915000,1715617916000,5756,0,-,96.4,0.0,2801664,11575296,2801664,11579392,1426759,8406725,460,1452,0,8421376,4,5,/input/data/work/65/20d7f7905e62437a61cf62bafef955,true,-
28,680316435,hu-worker-c42,d2/79ca80,nf-d279ca80ee11f954be4e8fff2c406da1,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715617909118,1715617914000,1715617934000,24882,20000,-,429.1,1.0,2586669056,3234992128,2586669056,3234996224,739108872,580278035,356,1636,0,580304896,16,46,/input/data/work/d2/79ca80ee11f954be4e8fff2c406da1,true,-
26,699735036,hu-worker-c34,a5/b18693,nf-a5b18693b34cb914c7fb8ce55059c5d3,NFCORE_MAG:MAG:FASTP,ERR260272,NFCORE_MAG:MAG:FASTP (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715617909583,1715617916000,1715617935000,25417,18000,-,460.9,1.0,2572427264,3099422720,2572427264,3099426816,758527381,586927819,361,1648,0,586956800,10,41,/input/data/work/a5/b18693b34cb914c7fb8ce55059c5d3,true,-
22,938847870,hu-worker-c41,40/a117b4,nf-40a117b43275e986c27b3e21bb015175,NFCORE_MAG:MAG:FASTP,ERR260275,NFCORE_MAG:MAG:FASTP (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715617909457,1715617910000,1715617941000,31543,30000,-,379.0,0.9,2499739648,3133222912,2499739648,3200335872,997640375,783611286,420,2000,3104768,783642624,46,113,/input/data/work/40/a117b43275e986c27b3e21bb015175,true,-
15,723955139,hu-worker-c34,5a/9bdbd3,nf-5a9bdbd38490c95b8c36546c4585dd67,NFCORE_MAG:MAG:FASTQC_RAW,ERR260273,NFCORE_MAG:MAG:FASTQC_RAW (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715617909174,1715617916000,1715617945000,35826,28000,-,211.1,0.4,1120505856,5113393152,1121304576,5180506112,745709401,3815270,1423416,11884,0,4386816,8,4,/input/data/work/5a/9bdbd38490c95b8c36546c4585dd67,true,-
13,1009910276,hu-worker-c28,b0/cc9ecd,nf-b0cc9ecdd9d1a2892baa12404f89c84b,NFCORE_MAG:MAG:FASTQC_RAW,ERR260274,NFCORE_MAG:MAG:FASTQC_RAW (ERR260274),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715617909414,1715617910000,1715617949000,39586,37000,-,214.3,0.4,1088458752,4971442176,1088458752,4971446272,1031665553,3808059,1981906,11913,4964352,4333568,34,0,/input/data/work/b0/cc9ecdd9d1a2892baa12404f89c84b,true,-
20,915132773,hu-worker-c24,a9/b7e0df,nf-a9b7e0df4097de12fc91bef774454331,NFCORE_MAG:MAG:FASTQC_RAW,ERR260216,NFCORE_MAG:MAG:FASTQC_RAW (ERR260216),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715617909631,1715617918000,1715617954000,44369,35000,-,208.5,0.4,1085591552,4833021952,1085591552,4900134912,936967459,3947521,1796937,12098,0,4448256,8,1,/input/data/work/a9/b7e0df4097de12fc91bef774454331,true,-
21,1430756893,hu-worker-c24,be/37e581,nf-be37e58148afb8bb25bc8082fc727563,NFCORE_MAG:MAG:FASTQC_RAW,ERR260215,NFCORE_MAG:MAG:FASTQC_RAW (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715617909321,1715617918000,1715617970000,60679,51000,-,207.3,0.4,1089044480,4901183488,1089044480,4903219200,1452733548,3951185,2804156,12011,0,4521984,11,4,/input/data/work/be/37e58148afb8bb25bc8082fc727563,true,-
2,0,hu-worker-c27,19/ceaa0c,nf-19ceaa0c975301086d61d960a37ae4eb,NFCORE_MAG:MAG:KRONA_DB,-,NFCORE_MAG:MAG:KRONA_DB,COMPLETED,0,-,quay.io/biocontainers/krona:2.7.1--pl526_5,1,14400000,-,7516192768,1,1715617909369,1715617914000,1715617970000,60631,55962,-,90.0,0.7,1888702464,1950216192,1909248000,1970892800,1042853428,1142259272,115681,85553,4096,671571968,12684,339,/input/data/work/19/ceaa0c975301086d61d960a37ae4eb,true,-
37,2377841976,hu-worker-c35,f5/586e5c,nf-f5586e5c2a3046792330b1221fdb68e9,NFCORE_MAG:MAG:FASTP,ERR260209,NFCORE_MAG:MAG:FASTP (ERR260209),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715617909678,1715617916000,1715617973000,63322,56000,-,560.2,1.1,2889056256,3246092288,2889089024,3246096384,2440828646,2312157620,764,4514,0,2312179712,15,28,/input/data/work/f5/586e5c2a3046792330b1221fdb68e9,true,-
