task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
7,1888,-,hu-worker-c24,d5/9da36d,nf-d59da36d0c7387f0883cf85b98fea874,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1716048544799,1716048529000,1716048531000,-13799,1000,-,85.1,0.0,2846720,11575296,2846720,11579392,1426641,8406721,460,1452,13864960,8421376,2,1,/input/data/work/d5/9da36d0c7387f0883cf85b98fea874,true,-
18,680316435,-,hu-worker-c24,6c/0f9ffd,nf-6c0f9ffdbb346173539c7f0239af9af1,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048543334,1716048529000,1716048549000,5666,20000,-,440.3,1.0,2613104640,3167883264,2613104640,3167887360,739109307,580278034,357,1636,3022848,580308992,36,63,/input/data/work/6c/0f9ffdbb346173539c7f0239af9af1,true,-
33,915132773,-,hu-worker-c41,30/7efaa7,nf-307efaa78e1e4953c9b34c73070d0d3f,NFCORE_MAG:MAG:FASTQC_RAW,ERR260216,NFCORE_MAG:MAG:FASTQC_RAW (ERR260216),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716048543715,1716048544000,1716048579000,35285,34000,-,211.8,0.4,1086636032,4901183488,1086636032,4902318080,936966564,3947524,1796936,12052,55570432,4481024,128,0,/input/data/work/30/7efaa78e1e4953c9b34c73070d0d3f,true,-
14,723955139,-,hu-worker-c27,24/d89eb0,nf-24d89eb097b88c253719b515dc2a23dc,NFCORE_MAG:MAG:FASTP,ERR260273,NFCORE_MAG:MAG:FASTP (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048543793,1716048532000,1716048556000,12207,23000,-,408.7,1.0,2603204608,3167748096,2603204608,3167752192,782748146,612149017,369,1696,3022848,612171776,38,78,/input/data/work/24/d89eb097b88c253719b515dc2a23dc,true,-
31,680316435,-,hu-worker-c27,d0/240a2b,nf-d0240a2b1253c3410b7e7de807b1b251,NFCORE_MAG:MAG:FASTQC_RAW,ERR260271,NFCORE_MAG:MAG:FASTQC_RAW (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716048543384,1716048532000,1716048560000,16616,27000,-,219.4,0.4,1133912064,5045231616,1134317568,5108813824,702088681,3849419,1338205,12018,31240192,4378624,63,6,/input/data/work/d0/240a2b1253c3410b7e7de807b1b251,true,-
13,1009910276,-,hu-worker-c35,7b/9bdb82,nf-7b9bdb821e2a97577eeda29539b20846,NFCORE_MAG:MAG:FASTP,ERR260274,NFCORE_MAG:MAG:FASTP (ERR260274),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048543757,1716048528000,1716048559000,15243,30000,-,412.0,0.9,2393616384,2966691840,2393616384,3033804800,1068702660,877248752,436,2146,0,877273088,13,90,/input/data/work/7b/9bdb821e2a97577eeda29539b20846,true,-
34,1430756893,-,hu-worker-c34,8a/a1868b,nf-8aa1868bc53de615ebf2def3035fae8d,NFCORE_MAG:MAG:FASTQC_RAW,ERR260215,NFCORE_MAG:MAG:FASTQC_RAW (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716048543485,1716048523000,1716048575000,31515,51000,-,205.7,0.4,1089335296,4901183488,1089335296,4902391808,1452589693,3951188,2804022,12103,4194304,4521984,11,2,/input/data/work/8a/a1868bc53de615ebf2def3035fae8d,true,-
24,2377841976,-,hu-worker-c34,75/aee4d6,nf-75aee4d6d49efad130858e22da77d204,NFCORE_MAG:MAG:FASTP,ERR260209,NFCORE_MAG:MAG:FASTP (ERR260209),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048543956,1716048523000,1716048578000,34044,54000,-,570.3,1.1,2897203200,3246092288,2897203200,3246096384,2440828655,2312157622,764,4514,4194304,2312179712,16,60,/input/data/work/75/aee4d6d49efad130858e22da77d204,true,-
19,2179720437,-,hu-worker-c42,cd/a65eb5,nf-cda65eb530313316b29c1750d13cf50c,NFCORE_MAG:MAG:FASTP,ERR260247,NFCORE_MAG:MAG:FASTP (ERR260247),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048543584,1716048525000,1716048579000,35416,53000,-,549.3,1.1,2863435776,3258662912,2863468544,3258667008,2242707215,2071354440,716,4066,4198400,2071379968,31,231,/input/data/work/cd/a65eb530313316b29c1750d13cf50c,true,-
16,699735036,2748317696,hu-worker-c24,b5/f12780,nf-b5f12780409b52c8e7a76e2e1f855b68,NFCORE_MAG:MAG:FASTP,ERR260272,NFCORE_MAG:MAG:FASTP (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716048544735,1716048563000,1716048584000,39265,20000,-,472.5,0.9,2532241408,3166531584,2532241408,3233644544,758527903,586927818,362,1648,4096,586956800,12,66,/input/data/work/b5/f12780409b52c8e7a76e2e1f855b68,true,-
