task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,1888,-,hu-worker-c25,38/0df5a8,nf-380df5a87957388c92ae553f2e26cfef,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1716090138715,1716090121000,1716090123000,-15715,1000,-,97.0,0.0,2883584,11575296,2883584,11579392,1426838,8406747,460,1452,0,8421376,2,1,/input/data/work/38/0df5a87957388c92ae553f2e26cfef,true,-
26,680316435,-,hu-worker-c41,7a/b7362c,nf-7ab7362c1761fd6a3d5177137c91514b,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090137802,1716090138000,1716090159000,21198,21000,-,440.1,0.9,2505109504,3033665536,2505109504,3033669632,739108419,580278040,356,1636,3059712,580304896,37,31,/input/data/work/7a/b7362c1761fd6a3d5177137c91514b,true,-
19,723955139,-,hu-worker-c34,b9/bbc994,nf-b9bbc994bb74e5441ae998dc410c012f,NFCORE_MAG:MAG:FASTP,ERR260273,NFCORE_MAG:MAG:FASTP (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090137595,1716090123000,1716090146000,8405,21000,-,420.6,1.0,2609549312,3134177280,2609594368,3234861056,782747511,612149014,367,1696,0,612171776,17,34,/input/data/work/b9/bbc994bb74e5441ae998dc410c012f,true,-
20,699735036,-,hu-worker-c42,98/4d41b0,nf-984d41b03dbe2e5e635d02e77f6e4582,NFCORE_MAG:MAG:FASTQC_RAW,ERR260272,NFCORE_MAG:MAG:FASTQC_RAW (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716090137413,1716090121000,1716090150000,12587,27000,-,212.0,0.4,1119588352,5045231616,1119588352,5110247424,721476082,3814964,1376101,11883,0,4325376,7,4,/input/data/work/98/4d41b03dbe2e5e635d02e77f6e4582,true,-
14,938847870,-,hu-worker-c25,15/722ec8,nf-15722ec8dceb438b5b518c62530b0f8f,NFCORE_MAG:MAG:FASTQC_RAW,ERR260275,NFCORE_MAG:MAG:FASTQC_RAW (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716090137509,1716090121000,1716090159000,21491,37000,-,210.9,0.5,1222221824,4985532416,1222307840,5044183040,960685025,4033112,1843300,12297,0,4608000,8,6,/input/data/work/15/722ec8dceb438b5b518c62530b0f8f,true,-
32,1430756893,-,hu-worker-c35,d7/b0b0ef,nf-d7b0b0ef473112ef5bcec1b5012f3d74,NFCORE_MAG:MAG:FASTP,ERR260215,NFCORE_MAG:MAG:FASTP (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090137458,1716090124000,1716090164000,26542,39000,-,522.5,1.0,2766663680,3233927168,2766663680,3233931264,1493743579,1396189930,537,3040,0,1396219904,13,46,/input/data/work/d7/b0b0ef473112ef5bcec1b5012f3d74,true,-
22,680316435,-,hu-worker-c41,53/c7ea29,nf-53c7ea29fb91ee5d45109ac07bdb9f5e,NFCORE_MAG:MAG:FASTQC_RAW,ERR260271,NFCORE_MAG:MAG:FASTQC_RAW (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716090138341,1716090162000,1716090191000,52659,27000,-,210.0,0.4,1140858880,4979167232,1141010432,5044183040,702087935,3849421,1338205,11926,52064256,4333568,129,11,/input/data/work/53/c7ea29fb91ee5d45109ac07bdb9f5e,true,-
1,0,-,hu-worker-c41,56/a2e8d8,nf-56a2e8d8ca23438d97320554d4cf8c7f,NFCORE_MAG:MAG:KRONA_DB,-,NFCORE_MAG:MAG:KRONA_DB,COMPLETED,0,-,quay.io/biocontainers/krona:2.7.1--pl526_5,1,14400000,-,7516192768,1,1716090137706,1716090138000,1716090194000,56294,55776,-,88.3,0.7,1888411648,1950203904,1908957184,1970880512,1043190854,1142621948,115647,85621,11526144,671748096,8148,285,/input/data/work/56/a2e8d8ca23438d97320554d4cf8c7f,true,-
25,1430756893,-,hu-worker-c25,34/3bbac5,nf-343bbac5192c3d4626ea8e217d2ef87e,NFCORE_MAG:MAG:FASTQC_RAW,ERR260215,NFCORE_MAG:MAG:FASTQC_RAW (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716090138035,1716090121000,1716090171000,32965,49000,-,207.7,0.4,1088688128,4833021952,1088688128,4900134912,1452589335,3951194,2804017,12057,0,4575232,7,0,/input/data/work/34/3bbac5192c3d4626ea8e217d2ef87e,true,-
12,1940349711,-,hu-worker-c24,11/112010,nf-111120101836308546ffd88c1d23574f,NFCORE_MAG:MAG:FASTP,ERR260158,NFCORE_MAG:MAG:FASTP (ERR260158),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090137990,1716090127000,1716090174000,36010,46000,-,549.8,1.1,2877009920,3263823872,2877042688,3330936832,2003336892,1802267458,660,3896,0,1802293248,15,54,/input/data/work/11/1120101836308546ffd88c1d23574f,true,-
27,2179720437,-,hu-worker-c27,86/bb4238,nf-86bb4238d8aacd55d212cb3a24ba557a,NFCORE_MAG:MAG:FASTP,ERR260247,NFCORE_MAG:MAG:FASTP (ERR260247),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090138127,1716090122000,1716090177000,38873,54000,-,547.2,1.0,2823630848,3258662912,2823630848,3325775872,2242707761,2071354443,716,4066,0,2071379968,12,83,/input/data/work/86/bb4238d8aacd55d212cb3a24ba557a,true,-
37,2377841976,-,hu-worker-c41,bb/b9806f,nf-bbb9806f057cea828d4a94d229106049,NFCORE_MAG:MAG:FASTP,ERR260209,NFCORE_MAG:MAG:FASTP (ERR260209),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090138167,1716090138000,1716090196000,57833,57000,-,564.5,1.0,2810232832,3246092288,2810232832,3246096384,2440828248,2312157613,763,4514,0,2312179712,11,102,/input/data/work/bb/b9806f057cea828d4a94d229106049,true,-
17,723955139,-,hu-worker-c34,c6/2243f9,nf-c62243f9343eb6822c76068f4e8fd7c4,NFCORE_MAG:MAG:FASTQC_RAW,ERR260273,NFCORE_MAG:MAG:FASTQC_RAW (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716090138556,1716090148000,1716090176000,37444,27000,-,218.9,0.4,1172688896,5118840832,1172688896,5180506112,745710194,3815273,1423419,11884,0,4321280,5,3,/input/data/work/c6/2243f9343eb6822c76068f4e8fd7c4,true,-
21,699735036,2744123392,hu-worker-c24,9c/9510c7,nf-9c9510c7bcb76f455b3faba1932968a1,NFCORE_MAG:MAG:FASTP,ERR260272,NFCORE_MAG:MAG:FASTP (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090138866,1716090153000,1716090175000,36134,21000,-,442.5,0.9,2535346176,3099422720,2535346176,3166535680,758527911,586927819,362,1648,4096,586956800,18,61,/input/data/work/9c/9510c7bcb76f455b3faba1932968a1,true,-
34,3501979303,-,hu-worker-c28,e0/81946e,nf-e081946eb2e96167a4b6bd83eebc1c33,NFCORE_MAG:MAG:FASTP,ERR260210,NFCORE_MAG:MAG:FASTP (ERR260210),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090137669,1716090121000,1716090188000,50331,65000,-,616.9,1.1,2970431488,3369811968,2970431488,3436924928,3573354861,3105108953,1034,5628,0,3105128448,14,38,/input/data/work/e0/81946eb2e96167a4b6bd83eebc1c33,true,-
33,3082035207,-,hu-worker-c28,2c/9172f3,nf-2c9172f39c730ef7ab4d6b751efc8c41,NFCORE_MAG:MAG:FASTP,ERR260211,NFCORE_MAG:MAG:FASTP (ERR260211),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1716090138085,1716090121000,1716090184000,45915,62000,-,552.6,1.0,2800926720,3169333248,2800943104,3236446208,3153410761,2757688788,932,5082,0,2757713920,26,37,/input/data/work/2c/9172f39c730ef7ab4d6b751efc8c41,true,-
