task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,-,hu-worker-c34,64/affaac,nf-64affaac29833e614d156a6706ca7207,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758525178,1715758532000,1715758537000,11822,3394,-,954.5,0.0,35430400,43188224,35586048,43495424,243152373,5292970,90366,2825,28672,7102464,365,17,/input/data/work/64/affaac29833e614d156a6706ca7207,true,-
1,623266,-,hu-worker-c35,6c/93a4b3,nf-6c93a4b3d80d6b6e085eb7d54f48200a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758525240,1715758535000,1715758540000,14760,2953,-,579.3,0.0,20824064,25616384,20828160,25665536,240920111,4385057,87598,2542,16384,6098944,148,3,/input/data/work/6c/93a4b3d80d6b6e085eb7d54f48200a,true,-
24,3390766991,-,hu-worker-c34,f5/c43452,nf-f5c434525471526ec7071d49de5ea380,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19920506_20200914_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19920506_20200914_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758539299,1715758543000,1715758543000,3701,180,-,47.8,0.0,3018752,4079616,3022848,4128768,476639,29070,903,35,0,49152,1,1,/input/data/work/f5/c434525471526ec7071d49de5ea380,true,-
5,3358340034,-,hu-worker-c25,66/c0c97e,nf-66c0c97e51b857f8249b6a01dc3927b4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758539461,1715758542000,1715758542000,2539,179,-,54.1,0.0,2965504,4079616,2969600,4128768,477993,29074,903,35,0,49152,3,2,/input/data/work/66/c0c97e51b857f8249b6a01dc3927b4,true,-
17,3361492408,-,hu-worker-c42,85/0dafef,nf-850dafef256a39f00dbbdd6085fb2261,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19910707_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19910707_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758539613,1715758542000,1715758542000,2387,173,-,72.0,0.0,3072000,4079616,3076096,4128768,476724,29070,903,35,4194304,49152,3,3,/input/data/work/85/0dafef256a39f00dbbdd6085fb2261,true,-
16,3387566066,-,hu-worker-c28,f5/445703,nf-f54457033cf422172fdd40fd75fff0bb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19850127_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19850127_20200918_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758539850,1715758541000,1715758542000,2150,137,-,74.6,0.0,3055616,4079616,3059712,4128768,477981,29072,903,35,0,49152,3,3,/input/data/work/f5/4457033cf422172fdd40fd75fff0bb,true,-
31,3351687753,-,hu-worker-c41,3b/271299,nf-3b271299de49f1e783518d3c40f77bee,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19940325_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19940325_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758540058,1715758540000,1715758541000,942,323,-,51.9,0.0,5390336,71704576,5398528,71753728,477478,29091,903,35,54177792,49152,85,7,/input/data/work/3b/271299de49f1e783518d3c40f77bee,true,-
18,3366276797,-,hu-worker-c25,01/9990c0,nf-019990c09b71fefd8c3ed7346dbd7149,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010107_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010107_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758540170,1715758542000,1715758542000,1830,139,-,75.2,0.0,2949120,4079616,2953216,4128768,478016,29092,903,35,0,49152,4,4,/input/data/work/01/9990c09b71fefd8c3ed7346dbd7149,true,-
12,3329867673,-,hu-worker-c42,f9/8090af,nf-f98090afcd7711581668870b6b1e6125,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758540289,1715758542000,1715758542000,1711,134,-,78.0,0.0,3170304,4079616,3174400,4128768,476723,29070,903,35,0,49152,4,0,/input/data/work/f9/8090afcd7711581668870b6b1e6125,true,-
13,3428897593,-,hu-worker-c35,93/23e45b,nf-9323e45bd231a4dfb2f7b57a86e183a2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20000222_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20000222_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715758540473,1715758542000,1715758542000,1527,133,-,71.1,0.0,3198976,4079616,3203072,4128768,476649,29069,903,35,0,49152,5,0,/input/data/work/93/23e45bd231a4dfb2f7b57a86e183a2,true,-
