task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,-,hu-worker-c35,11/c5f885,nf-11c5f8853904f5044fc71d203f029b71,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716132998243,1716132978000,1716132980000,-18243,2484,-,1336.3,0.0,32792576,38965248,32952320,39174144,243218890,5432249,90382,2859,0,7311360,365,11,/input/data/work/11/c5f8853904f5044fc71d203f029b71,true,-
1,623266,-,hu-worker-c24,69/6b5cf6,nf-696b5cf6dbe8505a18a2f20f802a0b43,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716132998182,1716132984000,1716132987000,-11182,1806,-,952.1,0.0,25800704,30490624,26185728,30830592,240927583,4303124,87600,2522,45056,5976064,213,7,/input/data/work/69/6b5cf6dbe8505a18a2f20f802a0b43,true,-
13,3428897593,-,hu-worker-c35,4e/ce27be,nf-4ece27be266adf1a1779239ce9bd586a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20000222_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20000222_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133006899,1716132988000,1716132988000,-18899,149,-,64.4,0.0,2994176,4079616,2998272,4128768,476660,29071,903,35,0,49152,3,0,/input/data/work/4e/ce27be266adf1a1779239ce9bd586a,true,-
27,3391484034,-,hu-worker-c34,7d/6c2c2c,nf-7d6c2c2cfdc0592bc83ec09d2d040253,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19941222_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19941222_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133007109,1716132987000,1716132988000,-19109,129,-,81.3,0.0,2924544,4079616,2928640,4128768,476656,29070,903,35,4198400,49152,3,0,/input/data/work/7d/6c2c2cfdc0592bc83ec09d2d040253,true,-
15,3319357306,-,hu-worker-c42,28/e85aad,nf-28e85aadee1e5138d76cc733062d8636,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19931219_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19931219_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133007522,1716132987000,1716132987000,-20522,149,-,64.5,0.0,2965504,4079616,2969600,4128768,476753,29070,903,35,0,49152,3,0,/input/data/work/28/e85aadee1e5138d76cc733062d8636,true,-
34,3383118869,-,hu-worker-c34,6e/c13a6e,nf-6ec13a6e5ef2b45ae9625a2937871eda,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19990424_20200908_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19990424_20200908_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133007962,1716132988000,1716132988000,-19962,125,-,82.1,0.0,2994176,4079616,2998272,4128768,476656,29070,903,35,0,49152,4,4,/input/data/work/6e/c13a6e5ef2b45ae9625a2937871eda,true,-
9,3364428909,-,hu-worker-c41,7f/054a1c,nf-7f054a1c41d396537d5840a81dfd6866,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20060614_20200901_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20060614_20200901_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133008059,1716133008000,1716133009000,941,309,-,50.5,0.0,5210112,67031040,5218304,67080192,476977,29081,903,35,54718464,49152,88,0,/input/data/work/7f/054a1c41d396537d5840a81dfd6866,true,-
6,3412796995,-,hu-worker-c35,42/b0068a,nf-42b0068aa301861a659283498a1b200b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860319_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860319_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133008153,1716132988000,1716132988000,-20153,134,-,71.6,0.0,3076096,4079616,3080192,4128768,476660,29071,903,35,0,49152,4,4,/input/data/work/42/b0068aa301861a659283498a1b200b,true,-
41,3330246107,-,hu-worker-c42,05/6cc9cd,nf-056cc9cda6de4f10c700db1e8782dc4c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19930423_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19930423_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133008299,1716132987000,1716132987000,-21299,139,-,66.9,0.0,2953216,4079616,2957312,4128768,476776,29088,903,35,0,49152,3,0,/input/data/work/05/6cc9cda6de4f10c700db1e8782dc4c,true,-
7,3368440400,-,hu-worker-c24,6e/d5e848,nf-6ed5e848c5defc0ecf2bfc916f0e7f71,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010531_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010531_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716133008399,1716132987000,1716132987000,-21399,133,-,63.6,0.0,3026944,4079616,3031040,4128768,477178,29068,903,35,0,49152,3,0,/input/data/work/6e/d5e848c5defc0ecf2bfc916f0e7f71,true,-
