task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,-,hu-worker-c24,c7/949f5c,nf-c7949f5c61f4779c7a6999cdbbb256ca,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856511637,1716856500000,1716856504000,-7637,2349,-,1421.5,0.0,29212672,34930688,29364224,35028992,243145896,5071757,90363,2771,0,6770688,388,11,/input/data/work/c7/949f5c61f4779c7a6999cdbbb256ca,true,-
1,623266,-,hu-worker-c25,5d/1ce434,nf-5d1ce43485c496ab31f3e00042b38e5f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856511698,1716856500000,1716856504000,-7698,1537,-,1118.3,0.0,26259456,30851072,26402816,30900224,240978120,4270360,87612,2514,0,5926912,427,25,/input/data/work/5d/1ce43485c496ab31f3e00042b38e5f,true,-
30,3328488817,-,hu-worker-c24,5d/1a76ac,nf-5d1a76acd61daa8d24b685850d019cbf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970504_20211128_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970504_20211128_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856530535,1716856511000,1716856511000,-19535,121,-,78.0,0.0,3055616,4079616,3059712,4128768,477287,29071,903,35,0,49152,4,4,/input/data/work/5d/1a76acd61daa8d24b685850d019cbf,true,-
31,3351687753,-,hu-worker-c25,c7/7a8245,nf-c77a82459ce7d5e6a690c952d3b92723,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19940325_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19940325_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856530648,1716856510000,1716856511000,-19648,150,-,69.7,0.0,3100672,4079616,3104768,4128768,478051,29075,903,35,0,49152,3,3,/input/data/work/c7/7a82459ce7d5e6a690c952d3b92723,true,-
13,3428897593,-,hu-worker-c27,ad/c407a2,nf-adc407a21968e54f16100fb1d3afc6b6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20000222_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20000222_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856530881,1716856511000,1716856512000,-18881,131,-,71.9,0.0,2940928,4079616,2945024,4128768,477646,29073,903,35,0,49152,3,3,/input/data/work/ad/c407a21968e54f16100fb1d3afc6b6,true,-
19,3436271044,-,hu-worker-c24,c1/41e835,nf-c141e8355381a02372d54bfee436b1d9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19901211_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19901211_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856531298,1716856511000,1716856511000,-20298,128,-,81.1,0.0,2965504,4079616,2969600,4128768,477287,29071,903,35,0,49152,4,0,/input/data/work/c1/41e8355381a02372d54bfee436b1d9,true,-
21,3335640443,-,hu-worker-c25,ed/193666,nf-ed193666f5fa6d88004e306acdaaaf68,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19991204_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19991204_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856531430,1716856511000,1716856511000,-20430,143,-,66.8,0.0,2936832,4079616,2940928,4128768,478052,29075,903,35,0,49152,4,4,/input/data/work/ed/193666f5fa6d88004e306acdaaaf68,true,-
15,3319357306,-,hu-worker-c41,9a/205f5b,nf-9a205f5b5ac20b6cdbccf58807fe3d67,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19931219_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19931219_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856531725,1716856532000,1716856532000,275,120,-,101.5,0.0,14503936,168202240,14512128,168251392,477194,29068,903,35,6881280,49152,11,0,/input/data/work/9a/205f5b5ac20b6cdbccf58807fe3d67,true,-
7,3368440400,-,hu-worker-c27,e2/1d505f,nf-e21d505fac41024da058a5641d777a9b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010531_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010531_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856531861,1716856511000,1716856512000,-19861,129,-,73.2,0.0,3026944,4079616,3031040,4128768,477646,29073,903,35,0,49152,3,3,/input/data/work/e2/1d505fac41024da058a5641d777a9b,true,-
12,3329867673,-,hu-worker-c42,0e/c7aabd,nf-0ec7aabd71fe5e133383029d2af67f5f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716856532095,1716856513000,1716856513000,-19095,137,-,68.1,0.0,2895872,4079616,2899968,4128768,476835,29091,903,35,0,49152,5,0,/input/data/work/0e/c7aabd71fe5e133383029d2af67f5f,true,-
