task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,623266,-,hu-worker-c34,ad/913400,nf-ad9134004af45c197ad7095504d9a54b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159633344,1722159597000,1722159601000,-32344,1568,-,1103.5,0.0,26112000,30855168,26255360,30904320,240933006,4335904,87602,2530,0,6025216,404,18,/input/data/work/ad/9134004af45c197ad7095504d9a54b,true,-
2,623266,-,hu-worker-c24,ca/71ac5b,nf-ca71ac5b22d59a414365f3055aa13b72,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159633279,1722159598000,1722159601000,-32279,2369,-,1413.4,0.0,32120832,38973440,32276480,39219200,243326935,5252001,90409,2815,49152,7041024,379,10,/input/data/work/ca/71ac5b22d59a414365f3055aa13b72,true,-
26,3372452033,-,hu-worker-c35,4f/a5882b,nf-4fa5882b70db6b586009df469f83ed00,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860607_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860607_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159652313,1722159609000,1722159609000,-43313,136,-,76.9,0.0,3022848,4079616,3026944,4128768,476889,29075,903,35,0,49152,3,0,/input/data/work/4f/a5882b70db6b586009df469f83ed00,true,-
14,3360303724,-,hu-worker-c24,23/a39246,nf-23a3924631868c03d929a9a02a1dd4a9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970418_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970418_20200910_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159652434,1722159608000,1722159609000,-43434,143,-,66.0,0.0,3039232,4079616,3047424,4128768,477216,29069,903,35,0,49152,3,0,/input/data/work/23/a3924631868c03d929a9a02a1dd4a9,true,-
28,3324390410,-,hu-worker-c42,2d/32d2a4,nf-2d32d2a46129ae7dbf146ca4857758a0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19930930_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19930930_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159652573,1722159609000,1722159609000,-43573,145,-,78.2,0.0,3002368,4079616,3010560,4128768,476594,29068,903,35,4198400,49152,5,1,/input/data/work/2d/32d2a46129ae7dbf146ca4857758a0,true,-
30,3328488817,-,hu-worker-c41,30/5f2aa6,nf-305f2aa660a9045d233df46cc2acee82,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970504_20211128_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970504_20211128_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159652816,1722159653000,1722159653000,184,104,-,97.0,0.0,14622720,168202240,14630912,168251392,477594,29065,903,35,1019904,49152,8,0,/input/data/work/30/5f2aa660a9045d233df46cc2acee82,true,-
18,3366276797,-,hu-worker-c24,ef/0266b4,nf-ef0266b46d4f11f59757d77e0651bf9a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010107_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010107_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159653058,1722159608000,1722159609000,-44058,137,-,77.0,0.0,2854912,4079616,2863104,4128768,477217,29069,903,35,0,49152,3,3,/input/data/work/ef/0266b46d4f11f59757d77e0651bf9a,true,-
11,3336228177,-,hu-worker-c42,39/807b2a,nf-39807b2a3f86d92e10d0ec385168c670,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900517_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900517_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159653278,1722159609000,1722159609000,-44278,141,-,68.1,0.0,2904064,4079616,2912256,4128768,476595,29068,903,35,0,49152,3,0,/input/data/work/39/807b2a3f86d92e10d0ec385168c670,true,-
9,3364428909,-,hu-worker-c35,a8/a9a0f1,nf-a8a9a0f18b669353a111f5eb501d5948,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20060614_20200901_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20060614_20200901_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159653531,1722159609000,1722159609000,-44531,164,-,64.9,0.0,2981888,4079616,2985984,4128768,476889,29075,903,35,0,49152,3,0,/input/data/work/a8/a9a0f18b669353a111f5eb501d5948,true,-
48,3334196368,-,hu-worker-c41,4a/16119a,nf-4a16119a2fb3a3c9468d5ebbd49f2248,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980421_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980421_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722159653810,1722159654000,1722159654000,190,99,-,112.3,0.0,17063936,168202240,17072128,168251392,477592,29066,903,35,0,49152,2,1,/input/data/work/4a/16119a2fb3a3c9468d5ebbd49f2248,true,-
