task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,623266,-,hu-worker-c34,f1/ea7c48,nf-f1ea7c48aa0e6288e880ef7704be1811,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055909141,1719055885000,1719055889000,-20141,1603,-,1074.6,0.0,25948160,30846976,26095616,30896128,240916374,4426025,87598,2552,0,6160384,409,14,/input/data/work/f1/ea7c48aa0e6288e880ef7704be1811,true,-
2,623266,-,hu-worker-c25,83/0fce11,nf-830fce1198041028e5dacddf24ee6774,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055909090,1719055894000,1719055897000,-12090,2303,-,1443.0,0.0,32264192,39149568,32436224,39297024,243215357,5301142,90379,2827,2887680,7114752,462,14,/input/data/work/83/0fce1198041028e5dacddf24ee6774,true,-
4,3346240423,-,hu-worker-c34,4e/115e37,nf-4e115e37a6255e20c558b369d71dca46,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010429_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010429_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055928685,1719055906000,1719055906000,-22685,151,-,63.0,0.0,3067904,4079616,3072000,4128768,476783,29073,903,35,0,49152,3,0,/input/data/work/4e/115e37a6255e20c558b369d71dca46,true,-
14,3360303724,-,hu-worker-c34,a5/5c6e53,nf-a55c6e536a0b8d26f83c21d4f591c10a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970418_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970418_20200910_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055929417,1719055906000,1719055906000,-23417,151,-,69.6,0.0,2965504,4079616,2969600,4128768,476784,29073,903,35,0,49152,3,0,/input/data/work/a5/5c6e536a0b8d26f83c21d4f591c10a,true,-
45,3418809523,-,hu-worker-c41,de/8bcad0,nf-de8bcad004705d66eb3eb09197486a57,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20020110_20200905_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20020110_20200905_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055929772,1719055930000,1719055930000,228,101,-,92.0,0.0,14565376,168202240,14573568,168251392,477268,29068,903,35,1019904,49152,9,0,/input/data/work/de/8bcad004705d66eb3eb09197486a57,true,-
33,3356473614,-,hu-worker-c34,36/d07b05,nf-36d07b056598d830c268dde7fff14f52,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900704_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900704_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055930245,1719055906000,1719055906000,-24245,132,-,70.6,0.0,2957312,4079616,2961408,4128768,476783,29073,903,35,0,49152,4,0,/input/data/work/36/d07b056598d830c268dde7fff14f52,true,-
23,3417443860,-,hu-worker-c41,37/5ecce2,nf-375ecce24d303d582c9b179871beda1f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19920420_20200914_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19920420_20200914_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055930364,1719055931000,1719055931000,636,99,-,95.2,0.0,15409152,168202240,15417344,168251392,477267,29068,903,35,0,49152,3,1,/input/data/work/37/5ecce24d303d582c9b179871beda1f,true,-
20,3334340824,-,hu-worker-c42,af/7177b5,nf-af7177b59de1e41308644594ecfa358e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870728_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870728_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055930653,1719055907000,1719055907000,-23653,140,-,77.5,0.0,2985984,4079616,2990080,4128768,476870,29073,903,35,0,49152,3,0,/input/data/work/af/7177b59de1e41308644594ecfa358e,true,-
26,3372452033,-,hu-worker-c34,fb/9652ca,nf-fb9652caf16de511022c09c1c13eead1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860607_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860607_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055930839,1719055906000,1719055907000,-23839,143,-,59.4,0.0,3018752,4079616,3022848,4128768,476784,29073,903,35,0,49152,3,3,/input/data/work/fb/9652caf16de511022c09c1c13eead1,true,-
29,3358215683,-,hu-worker-c42,86/27d20d,nf-8627d20dc77f2283be3f89dcbf3e900c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900922_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900922_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719055930931,1719055906000,1719055907000,-23931,167,-,68.8,0.0,3104768,4079616,3108864,4128768,476870,29073,903,35,4198400,49152,4,0,/input/data/work/86/27d20dc77f2283be3f89dcbf3e900c,true,-
