task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,623266,-,hu-worker-c27,91/5f7331,nf-915f73319bf576c0c7f5b34a04fd5fcf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068028163,1719068006000,1719068009000,-19163,1631,-,1073.2,0.0,29593600,34889728,29749248,35078144,240931380,4163849,87602,2488,0,5767168,356,12,/input/data/work/91/5f73319bf576c0c7f5b34a04fd5fcf,true,-
2,623266,-,hu-worker-c25,ac/321347,nf-ac321347ba2c500d087413c947eb431c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068028226,1719068005000,1719068009000,-19226,2308,-,1438.1,0.0,28798976,34930688,28950528,35028992,243322600,5268372,90407,2819,0,7065600,405,20,/input/data/work/ac/321347ba2c500d087413c947eb431c,true,-
6,3412796995,-,hu-worker-c42,39/1cb17f,nf-391cb17f2ca210efff1f052fa486aa42,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860319_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860319_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068037659,1719068015000,1719068016000,-21659,150,-,63.5,0.0,3043328,4079616,3047424,4128768,476870,29073,903,35,0,49152,3,0,/input/data/work/39/1cb17f2ca210efff1f052fa486aa42,true,-
31,3351687753,-,hu-worker-c28,bb/0cb9f7,nf-bb0cb9f7ee6529975a84e13c39090135,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19940325_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19940325_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068038008,1719068014000,1719068014000,-24008,162,-,65.3,0.0,2994176,4079616,3002368,4128768,477604,29072,903,35,0,49152,3,0,/input/data/work/bb/0cb9f7ee6529975a84e13c39090135,true,-
11,3336228177,-,hu-worker-c41,82/173f66,nf-82173f6679128e530c907fd9e307c570,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900517_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900517_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068038157,1719068038000,1719068039000,843,106,-,99.7,0.0,14680064,168202240,14688256,168251392,477269,29068,903,35,2113536,49152,9,0,/input/data/work/82/173f6679128e530c907fd9e307c570,true,-
12,3329867673,-,hu-worker-c25,6f/2c0a6d,nf-6f2c0a6d05995996b92544c2f7bfae93,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068038455,1719068016000,1719068016000,-22455,119,-,77.9,0.0,2908160,4079616,2916352,4128768,476744,29054,903,35,0,49152,5,0,/input/data/work/6f/2c0a6d05995996b92544c2f7bfae93,true,-
32,3322905915,-,hu-worker-c42,f3/8a05ac,nf-f38a05ac0d5784be225fd0a721ba124d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19960805_20200911_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19960805_20200911_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068038846,1719068015000,1719068016000,-22846,135,-,70.8,0.0,2990080,4079616,2994176,4128768,476895,29091,903,35,0,49152,4,4,/input/data/work/f3/8a05ac0d5784be225fd0a721ba124d,true,-
14,3360303724,-,hu-worker-c28,c5/a8be74,nf-c5a8be744a0bc44a4e6db1e8a5ad43ae,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970418_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970418_20200910_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068038937,1719068014000,1719068015000,-23937,140,-,68.1,0.0,3031040,4079616,3039232,4128768,477604,29072,903,35,4198400,49152,3,3,/input/data/work/c5/a8be744a0bc44a4e6db1e8a5ad43ae,true,-
4,3346240423,-,hu-worker-c27,33/caf2ed,nf-33caf2ed62a1a9bf13b080add77c4f10,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010429_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010429_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068039339,1719068016000,1719068017000,-22339,140,-,65.6,0.0,3100672,4079616,3104768,4128768,477779,29091,903,35,0,49152,3,0,/input/data/work/33/caf2ed62a1a9bf13b080add77c4f10,true,-
24,3390766991,-,hu-worker-c25,3d/281a8d,nf-3d281a8d4448e3a278c4c9ef20766688,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19920506_20200914_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19920506_20200914_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068039434,1719068016000,1719068016000,-23434,146,-,64.4,0.0,3051520,4079616,3059712,4128768,476769,29072,903,35,0,49152,4,4,/input/data/work/3d/281a8d4448e3a278c4c9ef20766688,true,-
9,3364428909,-,hu-worker-c42,16/a53bed,nf-16a53bedde5fe587d7f70e838d64a98b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20060614_20200901_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20060614_20200901_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068039574,1719068015000,1719068016000,-23574,168,-,69.6,0.0,3072000,4079616,3076096,4128768,476871,29073,903,35,4198400,49152,3,0,/input/data/work/16/a53bedde5fe587d7f70e838d64a98b,true,-
27,3391484034,-,hu-worker-c41,0b/d491f9,nf-0bd491f994f7f17f86f998d51298498c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19941222_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19941222_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1719068039723,1719068040000,1719068040000,277,106,-,105.8,0.0,15310848,168202240,15319040,168251392,477269,29069,903,35,0,49152,2,0,/input/data/work/0b/d491f994f7f17f86f998d51298498c,true,-
