task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,hu-worker-c35,bc/3a90d1,nf-bc3a90d1c58ae17b5cefb44154e07e78,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719556316679,1719556283000,1719556284000,-32679,1000,-,71.1,0.0,3219456,5640192,3219456,5644288,712299,4920,279,18,8192,16384,3,0,/input/data/work/bc/3a90d1c58ae17b5cefb44154e07e78,true,-
3,4063383142,hu-worker-c34,f7/ac1f9b,nf-f7ac1f9b2e6df296acb87370962136ac,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719556316546,1719556284000,1719556297000,-19546,12000,-,95.4,0.4,1174855680,1186750464,1174855680,1186754560,4064227951,838279376,496316,104481,0,838287360,184,1037,/input/data/work/f7/ac1f9b2e6df296acb87370962136ac,true,-
2,3147288982,hu-worker-c25,5d/0ce7c6,nf-5d0ce7c6fc1fcac2fade332d24fcf13a,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719556316612,1719556285000,1719556297000,-19612,11000,-,99.2,0.0,4857856,12550144,4857856,12554240,3147402808,5950,48261,20,12386304,16384,35,755,/input/data/work/5d/0ce7c6fc1fcac2fade332d24fcf13a,true,-
17,1718442970,hu-worker-c34,74/db429d,nf-74db429d53fb14221a73368aa5f6254b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320359,1719556286000,1719556363000,42641,76000,-,205.3,0.4,1088991232,4833021952,1089613824,4898037760,1740177557,3670770,3365686,11314,0,4325376,12,4,/input/data/work/74/db429d53fb14221a73368aa5f6254b,true,-
34,2235235129,hu-worker-c34,ed/733009,nf-ed7330093d5a4d52c75b05e43fa92180,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320701,1719556286000,1719556383000,62299,95000,-,203.2,0.4,1086545920,4764860416,1087000576,4829876224,2256971323,3675339,4375042,11242,0,4403200,12,6,/input/data/work/ed/7330093d5a4d52c75b05e43fa92180,true,-
21,2497231368,hu-worker-c42,af/91dc07,nf-af91dc0741dfc42db77e48de90dd7aec,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320235,1719556291000,1719556397000,76765,105000,-,203.2,0.4,1094180864,4901183488,1094553600,4901191680,2518974937,3693328,4886775,11264,8192,4411392,7,0,/input/data/work/af/91dc0741dfc42db77e48de90dd7aec,true,-
11,2567359158,hu-worker-c25,c5/438a1e,nf-c5438a1e546edace09a96d79f9637e60,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320629,1719556286000,1719556398000,77371,111000,-,204.5,0.4,1094918144,4901183488,1095118848,4901191680,2589104364,3695785,5023747,11312,19636224,4448256,12,9,/input/data/work/c5/438a1e546edace09a96d79f9637e60,true,-
37,2538241911,hu-worker-c27,03/25fd14,nf-0325fd144d4b183c4180bcd07bc5268a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320194,1719556287000,1719556402000,81806,114000,-,202.8,0.4,1139564544,5113393152,1140449280,5180506112,2559987874,3690880,4966864,11303,50716672,4431872,125,7,/input/data/work/03/25fd144d4b183c4180bcd07bc5268a,true,-
9,2486687632,hu-worker-c25,f2/66cc70,nf-f266cc7011d6222fae8cfdd54962c3a0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320401,1719556286000,1719556401000,80599,114000,-,201.8,0.4,1214283776,5049425920,1214287872,5054050304,2508431806,3693309,4866148,11353,31358976,4485120,119,0,/input/data/work/f2/66cc7011d6222fae8cfdd54962c3a0,true,-
61,2610621320,hu-worker-c27,ae/1ceedc,nf-ae1ceedc80d76d52cb8d1160adca6bd8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719556320594,1719556287000,1719556403000,82406,115000,-,203.8,0.4,1093058560,4901183488,1093509120,4968296448,2632362959,3688488,5108227,11311,278528,4440064,12,8,/input/data/work/ae/1ceedc80d76d52cb8d1160adca6bd8,true,-
