task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,4338,-,hu-worker-c34,bb/c2fc6a,nf-bbc2fc6a3ad95764ba0c04b3b233ec10,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1717267662117,1717267648000,1717267648000,-14117,0,-,76.5,0.0,3186688,5640192,3186688,5644288,712280,4919,279,18,0,16384,2,0,/input/data/work/bb/c2fc6a3ad95764ba0c04b3b233ec10,true,-
3,4063383142,-,hu-worker-c42,f4/79eab2,nf-f479eab22e94e3cee2f78f7a44346b0f,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1717267662003,1717267649000,1717267661000,-1003,11000,-,95.4,0.4,1175093248,1186750464,1175093248,1186754560,4064228000,838279376,496316,104481,0,838287360,118,966,/input/data/work/f4/79eab22e94e3cee2f78f7a44346b0f,true,-
1,3147288982,-,hu-worker-c27,90/2f2a85,nf-902f2a85aab7009372626f79037b5a56,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1717267662061,1717267650000,1717267661000,-1061,11000,-,99.6,0.0,4792320,12550144,4792320,12554240,3147403199,5958,48261,20,8192000,16384,33,734,/input/data/work/90/2f2a85aab7009372626f79037b5a56,true,-
56,2379721379,-,hu-worker-c27,20/8f3520,nf-208f3520023286320e875fa0fa346d7b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267671241,1717267651000,1717267758000,86759,106000,-,203.3,0.4,1090195456,4901183488,1090637824,4901191680,2401469883,3695700,4657266,11308,19636224,4476928,12,8,/input/data/work/20/8f3520023286320e875fa0fa346d7b,true,-
27,2497231368,-,hu-worker-c34,12/7c5d42,nf-127c5d4224f83ad89e2fc38acddf5275,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267671273,1717267651000,1717267759000,87727,107000,-,202.4,0.5,1223503872,4981264384,1227509760,5044183040,2518941530,3693321,4886764,11306,0,4431872,12,5,/input/data/work/12/7c5d4224f83ad89e2fc38acddf5275,true,-
68,2610621320,-,hu-worker-c34,53/7641b6,nf-537641b62f28ddfd20b38df50b810a15,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267670858,1717267650000,1717267761000,90142,109000,-,204.8,0.4,1094750208,4901183488,1094955008,4901191680,2632362772,3688485,5108230,11311,0,4456448,12,8,/input/data/work/53/7641b62f28ddfd20b38df50b810a15,true,-
7,2486687632,-,hu-worker-c27,6c/ae38d1,nf-6cae38d11b86b579713ac12f97542061,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267670907,1717267651000,1717267761000,90093,109000,-,202.6,0.4,1093246976,4764860416,1093632000,4765790208,2508431939,3693314,4866147,11353,31358976,4497408,123,8,/input/data/work/6c/ae38d11b86b579713ac12f97542061,true,-
20,1718442970,320864256,hu-worker-c34,64/60c544,nf-6460c544158c9b94be3d0be0c4e7a278,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),FAILED,137,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267671314,1717267761000,1717267764000,92686,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/64/60c544158c9b94be3d0be0c4e7a278,true,RETRY
37,2235235129,922746880,hu-worker-c27,98/fa116e,nf-98fa116e8ca1d195de80032744cb9732,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),FAILED,137,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267671659,1717267762000,1717267765000,93341,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/98/fa116e8ca1d195de80032744cb9732,true,RETRY
21,2161934675,837812224,hu-worker-c42,82/141457,nf-821414571845f772af503a511a4a53d2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),FAILED,137,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1717267672026,1717267762000,1717267767000,94974,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/82/1414571845f772af503a511a4a53d2,true,RETRY
