task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,-,hu-worker-c25,6e/cec517,nf-6ecec5172880304bc245c7946cadbd0c,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719921660744,1719921627000,1719921627000,-33744,0,-,73.3,0.0,3215360,5640192,3215360,5644288,712575,4912,279,18,8192,16384,3,0,/input/data/work/6e/cec5172880304bc245c7946cadbd0c,true,-
2,3147288982,-,hu-worker-c35,da/e3c34c,nf-dae3c34c84d7c6179954c629df34be58,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719921660691,1719921630000,1719921641000,-19691,11000,-,98.8,0.0,4853760,12550144,4853760,12554240,3147402601,5959,48261,20,8192000,16384,38,757,/input/data/work/da/e3c34c84d7c6179954c629df34be58,true,-
3,4063383142,-,hu-worker-c27,2a/554a6b,nf-2a554a6bbd6068a06bab8492a43fc6d9,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719921660627,1719921636000,1719921648000,-12627,12000,-,95.3,0.4,1174642688,1186750464,1174642688,1186754560,4064228625,838279376,496316,104481,233472,838287360,92,998,/input/data/work/2a/554a6bbd6068a06bab8492a43fc6d9,true,-
18,2161934675,-,hu-worker-c42,ac/f2342a,nf-acf2342ad4521d1e89bfd07ace85c919,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664378,1719921631000,1719921723000,58622,91000,-,204.0,0.4,1140248576,5045231616,1140248576,5077929984,2183855476,3676837,4232050,11362,8192,4358144,11,8,/input/data/work/ac/f2342ad4521d1e89bfd07ace85c919,true,-
36,2235235129,-,hu-worker-c35,8f/e4fa1a,nf-8fe4fa1a95529ee8c5e4439c2bfac0f2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664976,1719921631000,1719921729000,64024,97000,-,202.5,0.4,1200869376,5117587456,1205739520,5180506112,2256938689,3675336,4375034,11284,19636224,4399104,11,13,/input/data/work/8f/e4fa1a95529ee8c5e4439c2bfac0f2,true,-
9,2486687632,-,hu-worker-c34,a7/1e9508,nf-a71e95084331e7ca9748897a2c6cc448,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664747,1719921631000,1719921738000,73253,106000,-,203.9,0.4,1091772416,4901183488,1092243456,4901191680,2508430860,3693314,4866144,11269,0,4415488,11,8,/input/data/work/a7/1e95084331e7ca9748897a2c6cc448,true,-
54,2379721379,-,hu-worker-c41,59/0a33a5,nf-590a33a580ba552d31831064cbccd695,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664934,1719921665000,1719921772000,107066,106000,-,204.1,0.4,1091526656,4901183488,1091964928,4902825984,2401467916,3695691,4657260,11350,19636224,4427776,4,55,/input/data/work/59/0a33a580ba552d31831064cbccd695,true,-
51,2486253111,-,hu-worker-c24,f2/10a0c9,nf-f210a0c93223e31990d644d5fecf07fe,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664420,1719921631000,1719921744000,79580,112000,-,199.4,0.4,1210957824,5049425920,1211449344,5112344576,2507997298,3695792,4865328,11280,50995200,4444160,127,0,/input/data/work/f2/10a0c93223e31990d644d5fecf07fe,true,-
33,2605453793,-,hu-worker-c35,c0/97ff21,nf-c097ff21415354a55bcfa3ab186c1e9c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664646,1719921630000,1719921744000,79354,113000,-,202.9,0.4,1196355584,5185748992,1198010368,5189079040,2627160299,3685676,5098127,11348,31358976,4472832,130,3,/input/data/work/c0/97ff21415354a55bcfa3ab186c1e9c,true,-
59,2630683401,-,hu-worker-c42,06/00ecda,nf-0600ecda22148d994ae0b288da26ba44,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719921664841,1719921631000,1719921744000,79159,112000,-,203.4,0.4,1127383040,5045231616,1127383040,5045235712,2652429030,3690233,5147418,11339,0,4448256,11,8,/input/data/work/06/00ecda22148d994ae0b288da26ba44,true,-
