task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,-,hu-worker-c42,bb/55f5ff,nf-bb55f5ff8860304409f7548077e25872,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1716216687237,1716216675000,1716216676000,-11237,1000,-,92.6,0.0,3166208,5640192,3166208,5644288,712292,4916,279,18,0,16384,2,0,/input/data/work/bb/55f5ff8860304409f7548077e25872,true,-
2,4063383142,-,hu-worker-c34,ca/c832e9,nf-cac832e9bcc075bd7b8b974006b1b18d,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1716216687310,1716216667000,1716216679000,-8310,11000,-,95.1,0.4,1174896640,1186750464,1174896640,1186754560,4064227834,838279374,496316,104481,0,838287360,184,986,/input/data/work/ca/c832e9bcc075bd7b8b974006b1b18d,true,-
3,3147288982,-,hu-worker-c25,6f/71abae,nf-6f71abaede2dddec699c0f3019941b04,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1716216687187,1716216671000,1716216683000,-4187,12000,-,99.4,0.0,4788224,12550144,4788224,12554240,3147403154,5960,48261,20,8192000,16384,33,804,/input/data/work/6f/71abaede2dddec699c0f3019941b04,true,-
11,1718442970,-,hu-worker-c25,a5/b11b27,nf-a5b11b2715e378384d5c1cf26e2de198,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216701163,1716216680000,1716216760000,58837,78000,-,203.2,0.4,1133088768,5045231616,1133154304,5076287488,1740178088,3670771,3365686,11314,50995200,4313088,193,29,/input/data/work/a5/b11b2715e378384d5c1cf26e2de198,true,-
32,2235235129,-,hu-worker-c27,45/a1272b,nf-45a1272b5aae77bcf0176fc5439e5eda,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216700882,1716216688000,1716216789000,88118,100000,-,202.0,0.4,1158176768,5049425920,1158234112,5077700608,2256971835,3675338,4375041,11242,19881984,4358144,7,0,/input/data/work/45/a1272b5aae77bcf0176fc5439e5eda,true,-
44,2522583655,-,hu-worker-c34,5a/3b197a,nf-5a3b197a0d6a17d268a4b1815cc78c7c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216701112,1716216680000,1716216788000,86888,107000,-,203.1,0.4,1123430400,5045231616,1123733504,5047635968,2544320638,3679545,4936276,11377,0,4395008,10,0,/input/data/work/5a/3b197a0d6a17d268a4b1815cc78c7c,true,-
43,2486687632,-,hu-worker-c24,5b/cc7eda,nf-5bcc7edaebbde8d5b675a0c2b33cf0fb,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216700918,1716216681000,1716216794000,93082,112000,-,201.8,0.4,1193574400,5049425920,1193639936,5053476864,2508432134,3694697,4866177,11269,50851840,4407296,125,1,/input/data/work/5b/cc7edaebbde8d5b675a0c2b33cf0fb,true,-
5,2486687632,-,hu-worker-c35,e0/8f996a,nf-e08f996a00846ca758018c8969591dfe,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216701010,1716216690000,1716216797000,95990,106000,-,203.1,0.4,1088581632,5037506560,1088733184,5104619520,2508431238,3693313,4866146,11269,21106688,4395008,7,2,/input/data/work/e0/8f996a00846ca758018c8969591dfe,true,-
28,2605453793,-,hu-worker-c25,6e/22b824,nf-6e22b8244c3e5d28469f872fa0cff729,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216701514,1716216680000,1716216795000,93486,114000,-,202.4,0.4,1107001344,4905377792,1107001344,4905381888,2627193356,3685678,5098135,11306,0,4468736,12,8,/input/data/work/6e/22b8244c3e5d28469f872fa0cff729,true,-
49,2630683401,-,hu-worker-c42,04/7d20f7,nf-047d20f73b92147dc875ea3be630326c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1716216700831,1716216686000,1716216799000,98169,112000,-,203.2,0.4,1138405376,5045231616,1138704384,5112344576,2652428401,3690233,5147415,11255,8192,4403200,6,1,/input/data/work/04/7d20f73b92147dc875ea3be630326c,true,-
