task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,-,hu-worker-c34,cc/2326ba,nf-cc2326ba94ad19a052e2088df6adf5c5,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719571385862,1719571353000,1719571353000,-32862,0,-,60.4,0.0,3239936,5640192,3239936,5644288,712316,4919,279,18,0,16384,3,3,/input/data/work/cc/2326ba94ad19a052e2088df6adf5c5,true,-
2,4063383142,-,hu-worker-c35,00/b50a9a,nf-00b50a9ab4c12d2a9a700b4a325b8ef7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719571385753,1719571353000,1719571365000,-20753,12000,-,96.7,0.4,1174749184,1186750464,1174749184,1186754560,4064227934,838279377,496316,104481,4427776,838287360,102,1003,/input/data/work/00/b50a9ab4c12d2a9a700b4a325b8ef7,true,-
3,3147288982,-,hu-worker-c27,fd/161b37,nf-fd161b378210b4aaba0aefd691f1b821,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719571385807,1719571357000,1719571369000,-16807,12000,-,99.7,0.0,4861952,12550144,4861952,12554240,3147403287,5958,48261,20,8192000,16384,33,744,/input/data/work/fd/161b378210b4aaba0aefd691f1b821,true,-
33,2235235129,-,hu-worker-c25,96/ddbac7,nf-96ddbac70d1cca67c935fc19cc3b21eb,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389168,1719571358000,1719571459000,69832,100000,-,202.7,0.4,1092968448,5107765248,1093533696,5172781056,2256972060,3675350,4375042,11242,50966528,4378624,125,0,/input/data/work/96/ddbac70d1cca67c935fc19cc3b21eb,true,-
51,2379721379,-,hu-worker-c42,9b/2333d8,nf-9b2333d88c6af2a2933fbb7a9ab94666,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389210,1719571365000,1719571466000,76790,100000,-,203.3,0.4,1092132864,4901183488,1092497408,4902825984,2401469138,3695702,4657265,11266,8192,4386816,7,0,/input/data/work/9b/2333d88c6af2a2933fbb7a9ab94666,true,-
11,2486687632,-,hu-worker-c28,bf/cb6b93,nf-bfcb6b93142696594743c7051baffc83,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389293,1719571359000,1719571470000,80707,110000,-,204.2,0.4,1090433024,4969345024,1090555904,5036457984,2508432412,3693316,4866148,11227,48709632,4423680,124,3,/input/data/work/bf/cb6b93142696594743c7051baffc83,true,-
4,2486687632,-,hu-worker-c28,e9/74f3b9,nf-e974f3b96c3026b98e25b29d3d3008e8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389617,1719571359000,1719571471000,81383,111000,-,202.4,0.4,1092792320,4833021952,1093001216,4900134912,2508432155,3693315,4866148,11353,2289664,4448256,11,8,/input/data/work/e9/74f3b96c3026b98e25b29d3d3008e8,true,-
35,2689917923,-,hu-worker-c27,5b/ea42c9,nf-5bea42c9cfe1794990e24e3644b131e2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389429,1719571357000,1719571476000,86571,118000,-,202.8,0.4,1183592448,5117587456,1184399360,5184700416,2711661596,3695993,5263115,11237,50995200,4497408,123,3,/input/data/work/5b/ea42c9cfe1794990e24e3644b131e2,true,-
58,2718190708,-,hu-worker-c24,a5/caf69c,nf-a5caf69c10800e1aa9bd74b49659f04a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389254,1719571361000,1719571482000,92746,120000,-,201.2,0.4,1101090816,4971442176,1101090816,5036457984,2739940086,3707921,5318340,11294,50896896,4460544,123,0,/input/data/work/a5/caf69c10800e1aa9bd74b49659f04a,true,-
32,2771011001,-,hu-worker-c24,52/d4073f,nf-52d4073f700fdee8e8153aebca1ac20f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719571389543,1719571361000,1719571488000,98457,126000,-,200.1,0.4,1124200448,5113393152,1124200448,5144449024,2792757525,3701607,5421497,11372,0,4554752,7,2,/input/data/work/52/d4073f700fdee8e8153aebca1ac20f,true,-
