task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,-,hu-worker-c24,4e/aaaef3,nf-4eaaaef3cd13b90d2e41b1f5bdcb68c4,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719938754461,1719938726000,1719938727000,-27461,1000,-,93.3,0.0,3133440,5640192,3133440,5644288,712752,4915,279,18,8192,16384,2,0,/input/data/work/4e/aaaef3cd13b90d2e41b1f5bdcb68c4,true,-
2,4063383142,-,hu-worker-c42,53/7e838f,nf-537e838f37fa8e4cffbf7a682d30ea66,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719938754397,1719938723000,1719938734000,-20397,11000,-,96.3,0.4,1174794240,1186750464,1174794240,1186754560,4064228038,838279376,496316,104481,0,838287360,126,984,/input/data/work/53/7e838f37fa8e4cffbf7a682d30ea66,true,-
3,3147288982,-,hu-worker-c34,bb/ed74ad,nf-bbed74adfa44cf356792c09aec1cc5aa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719938754526,1719938729000,1719938741000,-13526,10000,-,99.6,0.0,4980736,12550144,4980736,12554240,3147402620,5958,48261,20,0,16384,10,786,/input/data/work/bb/ed74adfa44cf356792c09aec1cc5aa,true,-
16,1718442970,-,hu-worker-c25,97/ee4ded,nf-97ee4ded8be92ee8d52e95c6bb4360df,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763005,1719938737000,1719938815000,51995,77000,-,203.5,0.4,1164210176,5117587456,1164210176,5121384448,1740177557,3670760,3365686,11188,48103424,4300800,124,2,/input/data/work/97/ee4ded8be92ee8d52e95c6bb4360df,true,-
50,2522583655,-,hu-worker-c42,db/046af5,nf-db046af519e51a7546fba667f20ad850,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763276,1719938729000,1719938836000,72724,106000,-,203.4,0.4,1183088640,5253910528,1184288768,5316829184,2544320082,3679546,4936273,11377,8192,4444160,12,0,/input/data/work/db/046af519e51a7546fba667f20ad850,true,-
45,2538241911,-,hu-worker-c34,17/c723a9,nf-17c723a9018b5c5f1a9b9c07317ed329,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763163,1719938730000,1719938841000,77837,109000,-,201.8,0.4,1091457024,4764860416,1091653632,4765757440,2559986964,3690877,4966865,11261,0,4431872,12,3,/input/data/work/17/c723a9018b5c5f1a9b9c07317ed329,true,-
40,2605453793,-,hu-worker-c42,c3/a24276,nf-c3a242765da0b8e8d3bda658076e150a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763497,1719938729000,1719938842000,78503,112000,-,202.3,0.4,1210490880,5049425920,1214636032,5053501440,2627193171,3685675,5098136,11306,0,4497408,12,8,/input/data/work/c3/a242765da0b8e8d3bda658076e150a,true,-
11,2567359158,-,hu-worker-c24,fc/ccba3e,nf-fcccba3e1114bf41aaba96d60fb5ff90,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763642,1719938729000,1719938844000,80358,114000,-,204.1,0.4,1090949120,4901183488,1091162112,4902170624,2589226522,3695787,5023860,11312,19636224,4431872,12,8,/input/data/work/fc/ccba3e1114bf41aaba96d60fb5ff90,true,-
33,2497231368,-,hu-worker-c27,a7/1adc05,nf-a71adc0585e26dff6db5c92ff540b8de,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763090,1719938738000,1719938850000,86910,111000,-,202.2,0.4,1088802816,4833021952,1089003520,4900134912,2518974485,3693321,4886770,11264,50995200,4407296,119,0,/input/data/work/a7/1adc0585e26dff6db5c92ff540b8de,true,-
4,2486687632,-,hu-worker-c25,73/b824e7,nf-73b824e76b8491edfb93318010f1bad2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719938763387,1719938737000,1719938848000,84613,110000,-,202.5,0.4,1089908736,4833021952,1089908736,4898037760,2508431877,3693306,4866148,11269,2879488,4423680,7,3,/input/data/work/73/b824e76b8491edfb93318010f1bad2,true,-
