task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,4338,-,hu-worker-c35,59/556b85,nf-59556b854113c9b2197226a1626a75d4,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719912234104,1719912203000,1719912203000,-31104,0,-,63.6,0.0,3158016,5640192,3158016,5644288,712303,4920,279,18,5353472,16384,3,0,/input/data/work/59/556b854113c9b2197226a1626a75d4,true,-
2,3147288982,-,hu-worker-c24,72/4009a0,nf-724009a0d2c3527c5be1c1e22f6c52f4,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719912234043,1719912203000,1719912215000,-19043,12000,-,99.8,0.0,4812800,12550144,4812800,12554240,3147403050,5954,48261,20,12386304,16384,36,722,/input/data/work/72/4009a0d2c3527c5be1c1e22f6c52f4,true,-
1,4063383142,-,hu-worker-c42,e8/c45f0f,nf-e8c45f0f5a0c3c24286cd3db4c69cc8b,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719912234186,1719912208000,1719912220000,-14186,12000,-,96.3,0.4,1175056384,1186750464,1175056384,1186754560,4064228039,838279376,496316,104481,0,838287360,113,1023,/input/data/work/e8/c45f0f5a0c3c24286cd3db4c69cc8b,true,-
53,1396083675,-,hu-worker-c41,d5/f98a37,nf-d5f98a3776a0f8ccc9a3f5b19b53ac22,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242770,1719912243000,1719912309000,66230,65000,-,204.2,0.4,1093021696,4901183488,1093644288,4968296448,1417781506,3669180,2736059,11226,50995200,4268032,122,2,/input/data/work/d5/f98a3776a0f8ccc9a3f5b19b53ac22,true,-
15,2161934675,-,hu-worker-c34,d3/6a0542,nf-d36a0542ae228c605968bba7bcd56aae,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242694,1719912215000,1719912308000,65306,92000,-,204.5,0.5,1226215424,5049425920,1226891264,5076287488,2183675366,3676837,4231882,11278,0,4333568,7,3,/input/data/work/d3/6a0542ae228c605968bba7bcd56aae,true,-
30,2235235129,-,hu-worker-c24,af/0b221a,nf-af0b221ad5333cff1a42bb567a694687,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243132,1719912209000,1719912308000,64868,98000,-,203.1,0.4,1086844928,4833021952,1087459328,4833951744,2256970980,3675331,4375039,11200,19636224,4395008,12,8,/input/data/work/af/0b221ad5333cff1a42bb567a694687,true,-
39,2486687632,-,hu-worker-c25,6a/40ac48,nf-6a40ac4853b5d21f8847f6b5999c1355,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242885,1719912211000,1719912321000,78115,109000,-,204.3,0.4,1089024000,4833021952,1089470464,4900134912,2508431220,3694692,4866174,11227,50995200,4448256,124,3,/input/data/work/6a/40ac4853b5d21f8847f6b5999c1355,true,-
5,2486687632,-,hu-worker-c41,22/9d9970,nf-229d9970a0de1a7186d7a1e6770ed300,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243167,1719912243000,1719912360000,116833,116000,-,200.8,0.5,1219981312,5117587456,1221328896,5182906368,2508431248,3693304,4866146,11353,0,4476928,4,0,/input/data/work/22/9d9970a0de1a7186d7a1e6770ed300,true,-
7,2486687632,-,hu-worker-c27,11/b28817,nf-11b288179e830dc80493f884728173a4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242920,1719912218000,1719912330000,87080,110000,-,202.0,0.4,1094402048,4901183488,1094791168,4902113280,2508432283,3693314,4866148,11353,20357120,4411392,9,3,/input/data/work/11/b288179e830dc80493f884728173a4,true,-
68,2610621320,-,hu-worker-c34,5a/e87f1d,nf-5ae87f1d1ac4d79735bccb4d1e3a6b9d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242962,1719912215000,1719912329000,86038,113000,-,200.5,0.4,1211944960,4913102848,1215852544,4973924352,2632362303,3688485,5108228,11311,0,4435968,7,2,/input/data/work/5a/e87f1d1ac4d79735bccb4d1e3a6b9d,true,-
62,2718190708,-,hu-worker-c35,5b/17df9f,nf-5b17df9f06353b2bfdf34676a3b78318,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243049,1719912213000,1719912331000,87951,117000,-,202.0,0.4,1206865920,5117587456,1206865920,5121941504,2739939405,3707921,5318340,11378,22274048,4440064,7,2,/input/data/work/5b/17df9f06353b2bfdf34676a3b78318,true,-
35,2538241911,-,hu-worker-c28,30/20e855,nf-3020e8550fe9e9acb749625f307da424,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242731,1719912218000,1719912331000,88269,111000,-,203.6,0.4,1206878208,5117587456,1206878208,5180506112,2559987747,3690877,4966865,11303,50962432,4407296,120,0,/input/data/work/30/20e8550fe9e9acb749625f307da424,true,-
27,2771011001,-,hu-worker-c24,b0/65e822,nf-b065e8224a9a36dd4f194189b9f450bb,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242807,1719912208000,1719912333000,90193,124000,-,203.1,0.4,1145765888,5045231616,1146302464,5112344576,2792757544,3701604,5421496,11288,31358976,4521984,128,8,/input/data/work/b0/65e8224a9a36dd4f194189b9f450bb,true,-
34,2689917923,-,hu-worker-c27,fa/d6dafa,nf-fad6dafa1aaccd293356a2de78f5e42c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242582,1719912218000,1719912339000,96418,120000,-,203.6,0.4,1092820992,4901183488,1092820992,4902170624,2711661084,3695989,5263113,11363,30638080,4460544,120,1,/input/data/work/fa/d6dafa1aaccd293356a2de78f5e42c,true,-
36,2917121547,-,hu-worker-c25,9d/697f29,nf-9d697f29c25225eba4787c4bbdb36418,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242659,1719912211000,1719912338000,95341,126000,-,201.5,0.4,1217081344,4981264384,1222004736,5044183040,2938868686,3692523,5706870,11357,0,4526080,12,3,/input/data/work/9d/697f29c25225eba4787c4bbdb36418,true,-
19,2655690169,-,hu-worker-c28,22/a7f509,nf-22a7f509fb882289f1b2aea2464dff29,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243089,1719912219000,1719912338000,94911,118000,-,201.8,0.4,1139650560,5113393152,1140588544,5180506112,2677429993,3684424,5196249,11213,32768,4444160,7,2,/input/data/work/22/a7f509fb882289f1b2aea2464dff29,true,-
67,3142145039,-,hu-worker-c42,82/5ce94d,nf-825ce94d6eda72b5cf35653ff7917558,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243211,1719912209000,1719912343000,99789,132000,-,200.9,0.4,1195057152,5117587456,1200807936,5182603264,3163886809,3680007,6146350,11286,8192,4517888,12,9,/input/data/work/82/5ce94d6eda72b5cf35653ff7917558,true,-
22,3390020095,-,hu-worker-c42,d5/7a9942,nf-d57a9942a67f0977c9cbfda5ca5095ac,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242845,1719912208000,1719912356000,113155,147000,-,201.9,0.5,1225793536,5185748992,1231056896,5191192576,3411770966,3714183,6630513,11301,0,4616192,12,2,/input/data/work/d5/7a9942a67f0977c9cbfda5ca5095ac,true,-
12,1718442970,-,hu-worker-c41,ef/702c21,nf-ef702c212f0bfb1edcf9b773eaa29164,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243650,1719912311000,1719912392000,148350,80000,-,200.9,0.4,1141436416,5045231616,1141436416,5112344576,1740177180,3670758,3365685,11188,0,4317184,4,0,/input/data/work/ef/702c212f0bfb1edcf9b773eaa29164,true,-
58,3529944369,-,hu-worker-c35,98/113f2b,nf-98113f2b863cdba273ca853c5eaae1dd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912242626,1719912213000,1719912362000,119374,148000,-,201.5,0.4,1194364928,4981264384,1196183552,5040652288,3551688261,3685713,6903783,11253,28721152,4558848,127,1,/input/data/work/98/113f2b863cdba273ca853c5eaae1dd,true,-
82,3985567244,-,hu-worker-c28,04/be0db9,nf-04be0db936e7702bccde888e8ee52759,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,12,57600000,-,68719476736,1,1719912257481,1719912340000,1719912380000,122519,39000,-,99.9,0.4,1191374848,1522282496,1191374848,1522286592,4568154940,1562136155,522502,3509959,10620928,1562161152,117,1149,/input/data/work/04/be0db936e7702bccde888e8ee52759,true,-
75,1810218282,-,hu-worker-c34,d1/a9be3c,nf-d1a9be3c2c9e135969e1e41fe57661ea,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719912243686,1719912310000,1719912395000,151314,83000,-,203.8,0.4,1100468224,5175926784,1100644352,5176954880,1831956171,3672467,3544932,11267,4194304,4329472,6,4,/input/data/work/d1/a9be3c2c9e135969e1e41fe57661ea,true,-
