task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,hu-worker-c42,ac/2c4640,nf-ac2c46405970258a87426309b045d382,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719586728953,1719586700000,1719586702000,-26953,2000,-,7.6,0.0,3223552,5640192,3223552,5644288,712403,4918,279,18,0,16384,8,0,/input/data/work/ac/2c46405970258a87426309b045d382,true,-
3,hu-worker-c24,64/e9f768,nf-64e9f768d3fb17f07b290e0ad5cc5290,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1719586729028,1719586697000,1719586709000,-20028,12000,-,98.6,0.0,4833280,12550144,4833280,12554240,3147403038,5954,48261,20,12398592,16384,45,781,/input/data/work/64/e9f768d3fb17f07b290e0ad5cc5290,true,-
1,hu-worker-c25,9b/f24600,nf-9bf24600bd46ca051b704002b801cf4e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1719586729075,1719586698000,1719586711000,-18075,12000,-,93.3,0.4,1174745088,1186750464,1174745088,1186754560,4064228180,838279369,496316,104481,233472,838291456,146,984,/input/data/work/9b/f24600bd46ca051b704002b801cf4e,true,-
13,hu-worker-c35,55/4d018e,nf-554d018eeab2b377a59ca0e441c6231c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738059,1719586708000,1719586802000,63941,93000,-,202.0,0.4,1177231360,5049425920,1189789696,5076287488,2183674833,3676841,4231881,11194,19636224,4370432,7,2,/input/data/work/55/4d018eeab2b377a59ca0e441c6231c,true,-
8,hu-worker-c42,fe/49e1ac,nf-fe49e1acb8560ec7fb8b14548c2b88aa,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738294,1719586704000,1719586812000,73706,107000,-,204.1,0.4,1187647488,4981264384,1187647488,4981268480,2508431709,3693317,4866147,11269,8192,4395008,12,8,/input/data/work/fe/49e1acb8560ec7fb8b14548c2b88aa,true,-
49,hu-worker-c25,60/7b60b7,nf-607b60b74109b3204e1b4cd9726a4cfd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738534,1719586704000,1719586810000,71466,105000,-,204.6,0.4,1096142848,4969345024,1096142848,4970274816,2401606804,3695695,4657393,11308,23834624,4448256,33,24,/input/data/work/60/7b60b74109b3204e1b4cd9726a4cfd,true,-
25,hu-worker-c42,17/64a986,nf-1764a9864e2efb7c871ea289b54d9441,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738129,1719586704000,1719586815000,76871,110000,-,202.5,0.4,1091698688,4764860416,1092145152,4766494720,2627192916,3685679,5098135,11264,0,4444160,10,0,/input/data/work/17/64a9864e2efb7c871ea289b54d9441,true,-
44,hu-worker-c34,02/c20efd,nf-02c20efddc07adefdb29123c8639ce1a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738323,1719586709000,1719586817000,78677,107000,-,203.0,0.4,1166970880,5181554688,1166970880,5184139264,2544444210,3679550,4936394,11293,0,4407296,7,2,/input/data/work/02/c20efddc07adefdb29123c8639ce1a,true,-
5,hu-worker-c34,62/afe859,nf-62afe8597b475f925d037a6e3ede528e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738107,1719586708000,1719586818000,79893,108000,-,200.5,0.4,1157607424,5045231616,1157607424,5110247424,2508431515,3693318,4866147,11227,0,4390912,7,2,/input/data/work/62/afe8597b475f925d037a6e3ede528e,true,-
7,hu-worker-c27,eb/c4e2a2,nf-ebc4e2a2e276707f044ac3ede10f2f7b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1719586738187,1719586708000,1719586819000,80813,110000,-,201.6,0.4,1162596352,5053218816,1162596352,5077700608,2508432284,3693317,4866147,11269,19636224,4444160,12,8,/input/data/work/eb/c4e2a2e276707f044ac3ede10f2f7b,true,-
