task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
7,hu-worker-c35,12/f8aa08,nf-12f8aa08779de3a370e02897aadf1293,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1720070665164,1720070632000,1720070633000,-32164,0,-,69.6,0.0,2985984,11575296,2985984,11579392,51957,2600,145,17,0,12288,3,2,/input/data/work/12/f8aa08779de3a370e02897aadf1293,true,-
11,hu-worker-c27,0c/c7ae90,nf-0cc7ae90ba47f98ee5be8d27c497d443,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1720070664822,1720070632000,1720070634000,-30822,0,-,92.2,0.0,2785280,11575296,2785280,11579392,11009799,33652582,505,1058,3158016,33701888,3,1,/input/data/work/0c/c7ae90ba47f98ee5be8d27c497d443,true,-
90,hu-worker-c42,0d/1f6f98,nf-0d1f6f987063c47611b3b69bdc7461ae,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1720070668783,1720070635000,1720070636000,-32783,0,-,68.6,0.0,2916352,11575296,2916352,11579392,51138,2597,145,58,0,180224,3,2,/input/data/work/0d/1f6f987063c47611b3b69bdc7461ae,true,-
14,hu-worker-c34,fb/6fe7f3,nf-fb6fe7f3661118fade5f2d89211721dc,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1720070664439,1720070640000,1720070642000,-22439,1000,-,96.7,0.0,3006464,11575296,3006464,11579392,9299902,37200249,490,1168,0,37253120,2,0,/input/data/work/fb/6fe7f3661118fade5f2d89211721dc,true,-
13,hu-worker-c24,79/635357,nf-796353578e8a714219f09f841c157699,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1720070665268,1720070634000,1720070640000,-25268,5000,-,92.3,0.0,9850880,42328064,9850880,42336256,114384433,435495662,1084,13311,6721536,435499008,51,682,/input/data/work/79/6353578e8a714219f09f841c157699,true,-
89,hu-worker-c41,4a/d247bc,nf-4ad247bc8faa49e2de6d3bf823a97a42,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1720070668703,1720070669000,1720070676000,7297,6000,-,86.6,0.1,139837440,4601057280,139837440,4751425536,53569161,119113,7677,34,132857856,147456,2797,305,/input/data/work/4a/d247bc8faa49e2de6d3bf823a97a42,true,-
3,hu-worker-c34,25/95db4c,nf-2595db4ce1b251e1e7edcf9bc0cee700,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1720070664481,1720070641000,1720070647000,-17481,4000,-,95.1,0.0,9949184,42328064,9949184,42336256,113274133,388442027,1076,11875,0,388448256,12,177,/input/data/work/25/95db4ce1b251e1e7edcf9bc0cee700,true,-
91,hu-worker-c25,5d/c5b954,nf-5dc5b9545184353f881268d594336f91,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1720070678083,1720070644000,1720070645000,-33083,1000,-,8.3,0.0,3235840,6500352,3235840,6508544,86889,3418,210,47,1679360,16384,9,8,/input/data/work/5d/c5b9545184353f881268d594336f91,true,-
100,hu-worker-c42,c7/81d859,nf-c781d859f8b7842af5a5a364ccc50971,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,9_1-141213431,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1720070678139,1720070644000,1720070644000,-34139,0,-,57.1,0.0,3223552,5640192,3223552,5644288,87083,3363,212,47,0,16384,3,4,/input/data/work/c7/81d859f8b7842af5a5a364ccc50971,true,-
102,hu-worker-c27,00/98adbe,nf-0098adbe1f58613b40efcf6427cdce2a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,11_1-135006516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_1-135006516),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1720070678177,1720070644000,1720070645000,-33177,1000,-,13.7,0.0,3104768,5640192,3104768,5644288,87667,3352,210,47,1679360,16384,6,6,/input/data/work/00/98adbe1f58613b40efcf6427cdce2a,true,-
