task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,1888,hu-worker-c41,38/2353ae,nf-382353aea7042bdfd2dada3e406009cb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1715118021448,1715118022000,1715118023000,1552,0,-,101.6,0.0,10280960,33529856,10280960,33533952,1426232,8406726,460,1452,0,8421376,2,0,/input/data/work/38/2353aea7042bdfd2dada3e406009cb,true,-
22,680316435,hu-worker-c34,55/a32e23,nf-55a32e23afd32cc57e0222879ffe2e3e,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715118021210,1715118025000,1715118045000,23790,19000,-,442.1,1.0,2642194432,3167883264,2642194432,3234996224,739108753,580278035,356,1636,0,580304896,17,38,/input/data/work/55/a32e23afd32cc57e0222879ffe2e3e,true,-
23,680316435,hu-worker-c28,8a/f733a2,nf-8af733a2d02692b4ae5e7b387afb3c6c,NFCORE_MAG:MAG:FASTQC_RAW,ERR260271,NFCORE_MAG:MAG:FASTQC_RAW (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715118021019,1715118021000,1715118050000,28981,27000,-,210.8,0.4,1083731968,4901183488,1083731968,4902309888,702219780,3849422,1338326,12064,6557696,4354048,46,7,/input/data/work/8a/f733a2d02692b4ae5e7b387afb3c6c,true,-
20,699735036,hu-worker-c25,53/697e0b,nf-53697e0bfc68763b522f3dd33b813bd9,NFCORE_MAG:MAG:FASTQC_RAW,ERR260272,NFCORE_MAG:MAG:FASTQC_RAW (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715118020979,1715118022000,1715118052000,31021,29000,-,215.9,0.4,1082638336,4833021952,1082638336,4900134912,721476584,3814959,1376102,11929,0,4317184,11,21,/input/data/work/53/697e0bfc68763b522f3dd33b813bd9,true,-
29,1430756893,hu-worker-c41,ec/ddfca1,nf-ecddfca189ce9a873c2358c7623a3b7f,NFCORE_MAG:MAG:FASTP,ERR260215,NFCORE_MAG:MAG:FASTP (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715118021058,1715118021000,1715118063000,41942,40000,-,529.9,1.0,2790174720,3233927168,2790174720,3233931264,1493743659,1396189930,538,3040,3059712,1396215808,28,50,/input/data/work/ec/ddfca189ce9a873c2358c7623a3b7f,true,-
14,938847870,hu-worker-c41,52/de8220,nf-52de822001eb00accfc4df5b6828fecc,NFCORE_MAG:MAG:FASTQC_RAW,ERR260275,NFCORE_MAG:MAG:FASTQC_RAW (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715118021490,1715118022000,1715118061000,39510,38000,-,210.9,0.4,1082269696,4901183488,1082269696,4903825408,960684227,4033117,1843297,12251,52064256,4595712,127,1,/input/data/work/52/de822001eb00accfc4df5b6828fecc,true,-
16,1009910276,hu-worker-c27,6c/5e0424,nf-6c5e042441077eb100a009e0bd2c6bd2,NFCORE_MAG:MAG:FASTQC_RAW,ERR260274,NFCORE_MAG:MAG:FASTQC_RAW (ERR260274),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715118020756,1715118028000,1715118066000,45244,36000,-,215.2,0.4,1163247616,5249716224,1163247616,5316829184,1031664971,3808044,1981904,11913,0,4321280,7,5,/input/data/work/6c/5e042441077eb100a009e0bd2c6bd2,true,-
28,1430756893,hu-worker-c42,fd/04aa0c,nf-fd04aa0c20a50698cfae0ccd6c75653d,NFCORE_MAG:MAG:FASTQC_RAW,ERR260215,NFCORE_MAG:MAG:FASTQC_RAW (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715118020898,1715118023000,1715118076000,55102,52000,-,205.3,0.4,1191907328,5117587456,1200160768,5186396160,1452589724,3951184,2804020,12011,0,4583424,10,2,/input/data/work/fd/04aa0c20a50698cfae0ccd6c75653d,true,-
6,1793175245,hu-worker-c24,fa/2a6f19,nf-fa2a6f19306be16f42fd4bdae9bf9344,NFCORE_MAG:MAG:FASTP,ERR275252,NFCORE_MAG:MAG:FASTP (ERR275252),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715118020941,1715118022000,1715118076000,55059,53000,-,708.2,1.1,2980032512,3368669184,2980032512,3368673280,1839384946,1751588008,620,6284,0,1751609344,17,58,/input/data/work/fa/2a6f19306be16f42fd4bdae9bf9344,true,-
25,2179720437,hu-worker-c42,9f/d2b2c7,nf-9fd2b2c73ceafe87833eca9e57be40e2,NFCORE_MAG:MAG:FASTP,ERR260247,NFCORE_MAG:MAG:FASTP (ERR260247),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1715118021313,1715118023000,1715118074000,52687,49000,-,553.4,1.1,2919526400,3258662912,2919526400,3258667008,2242707146,2071354438,715,4066,4194304,2071379968,17,41,/input/data/work/9f/d2b2c73ceafe87833eca9e57be40e2,true,-
