task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,hu-worker-c42,39/c28313,nf-39c28313fa455fa1909c678c52a7cad7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715207223853,1715207229000,1715207232000,8147,1587,-,1074.8,0.0,29601792,35069952,29741056,35168256,233162890,4122448,85123,2458,7852032,5902336,410,85,/input/data/work/39/c28313fa455fa1909c678c52a7cad7,true,-
1,623266,hu-worker-c27,9c/ea8b4b,nf-9cea8b4b01ee8bf709047a41e4b15277,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715207223909,1715207230000,1715207233000,9091,2275,-,1085.1,0.0,29319168,34930688,29462528,35028992,148929404,4629195,60361,2527,52715520,6590464,494,889,/input/data/work/9c/ea8b4b01ee8bf709047a41e4b15277,true,-
30,3328488817,hu-worker-c24,1c/5fbb4c,nf-1c5fbb4c5bb4b4443d673539f49db733,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970504_20211128_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970504_20211128_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207237725,1715207239000,1715207240000,2275,150,-,69.7,0.0,3108864,4079616,3112960,4128768,476914,29064,903,35,0,49152,3,0,/input/data/work/1c/5fbb4c5bb4b4443d673539f49db733,true,-
32,3322905915,hu-worker-c42,1f/a38689,nf-1fa386892c9f17d1f973e5a3554a52b6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19960805_20200911_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19960805_20200911_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207237975,1715207240000,1715207240000,2025,155,-,66.8,0.0,2965504,4079616,2969600,4128768,476698,29068,903,35,0,49152,4,3,/input/data/work/1f/a386892c9f17d1f973e5a3554a52b6,true,-
12,3329867673,hu-worker-c27,1f/89bc5d,nf-1f89bc5d6d242f068aef262bf8825f94,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207238520,1715207241000,1715207241000,2480,142,-,67.7,0.0,2949120,4079616,2953216,4128768,477560,29068,903,35,0,49152,3,0,/input/data/work/1f/89bc5d6d242f068aef262bf8825f94,true,-
31,3351687753,hu-worker-c28,4a/c0f8a0,nf-4ac0f8a03856362908477b56b349382f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19940325_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19940325_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207238758,1715207239000,1715207240000,1242,146,-,71.3,0.0,3018752,4079616,3022848,4128768,477949,29086,903,35,0,49152,3,3,/input/data/work/4a/c0f8a03856362908477b56b349382f,true,-
11,3336228177,hu-worker-c27,f8/4a726e,nf-f84a726ee685b92afd074a18402bb531,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900517_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900517_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207238863,1715207241000,1715207241000,2137,194,-,50.5,0.0,3022848,4079616,3026944,4128768,477560,29068,903,35,0,49152,3,3,/input/data/work/f8/4a726ee685b92afd074a18402bb531,true,-
5,3358340034,hu-worker-c41,97/0c69e6,nf-970c69e610ed52a018e19d9c7e8ab5da,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207239152,1715207239000,1715207240000,848,101,-,93.6,0.0,15458304,168202240,15466496,168251392,477432,29072,903,35,0,49152,2,0,/input/data/work/97/0c69e610ed52a018e19d9c7e8ab5da,true,-
8,3325468937,hu-worker-c42,09/e43830,nf-09e4383079b97f39a7e58ccc8adaf633,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980507_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980507_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207239527,1715207240000,1715207240000,473,142,-,67.5,0.0,2904064,4079616,2908160,4128768,476698,29068,903,35,0,49152,3,0,/input/data/work/09/e4383079b97f39a7e58ccc8adaf633,true,-
27,3391484034,hu-worker-c24,18/d1b4c4,nf-18d1b4c458b6d3cdefc32fc7add91895,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19941222_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19941222_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207239634,1715207240000,1715207241000,1366,140,-,69.3,0.0,2924544,4079616,2928640,4128768,476914,29064,903,35,0,49152,3,0,/input/data/work/18/d1b4c458b6d3cdefc32fc7add91895,true,-
14,3360303724,hu-worker-c28,a8/35113d,nf-a835113df34c320123000e20a8acbc28,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970418_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970418_20200910_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207239728,1715207240000,1715207241000,1272,142,-,65.3,0.0,3047424,4079616,3051520,4128768,477925,29068,903,35,0,49152,3,0,/input/data/work/a8/35113df34c320123000e20a8acbc28,true,-
18,3366276797,hu-worker-c42,17/2dffe6,nf-172dffe65471d14481c0bf556283ea34,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010107_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010107_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207239937,1715207240000,1715207241000,1063,123,-,81.3,0.0,3076096,4079616,3080192,4128768,476698,29068,903,35,0,49152,4,0,/input/data/work/17/2dffe65471d14481c0bf556283ea34,true,-
9,3364428909,hu-worker-c41,fb/1cf001,nf-fb1cf0017264518e4e537fa41708a3b2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20060614_20200901_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20060614_20200901_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207240059,1715207240000,1715207241000,941,97,-,106.7,0.0,15413248,168202240,15421440,168251392,477433,29073,903,35,0,49152,3,0,/input/data/work/fb/1cf0017264518e4e537fa41708a3b2,true,-
16,3387566066,hu-worker-c24,60/a294a7,nf-60a294a79859f1c8a8601c49af3b5121,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19850127_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19850127_20200918_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715207240176,1715207241000,1715207241000,824,183,-,48.1,0.0,3092480,4079616,3096576,4128768,476914,29064,903,35,0,49152,3,0,/input/data/work/60/a294a79859f1c8a8601c49af3b5121,true,-
