task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,623266,-,hu-worker-c35,71/e6befa,nf-71e6befa83723ffe3965ff42407fee38,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715216514791,1715216518000,1715216521000,6209,2161,-,1060.2,0.0,35725312,43372544,35864576,43470848,148971500,4368013,60373,2465,37425152,6213632,522,1238,/input/data/work/71/e6befa83723ffe3965ff42407fee38,true,-
2,623266,-,hu-worker-c24,f0/27af6e,nf-f027af6eaabe72e515a90b79e9be2a0d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715216514732,1715216523000,1715216526000,11268,1537,-,1112.1,0.0,29372416,35069952,29519872,35119104,233160710,4304513,85122,2504,4296704,6213632,466,106,/input/data/work/f0/27af6eaabe72e515a90b79e9be2a0d,true,-
20,3334340824,-,hu-worker-c35,28/d41e7a,nf-28d41e7a17dd21f19de9743146d5855f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870728_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870728_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216523585,1715216524000,1715216525000,1415,108,-,85.8,0.0,3051520,4079616,3055616,4128768,476608,29068,903,35,4194304,49152,3,2,/input/data/work/28/d41e7a17dd21f19de9743146d5855f,true,-
15,3319357306,-,hu-worker-c27,f2/33f7bc,nf-f233f7bcbae3fc37bffe7ef3608ad698,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19931219_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19931219_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216523718,1715216525000,1715216526000,2282,162,-,76.3,0.0,3080192,4079616,3084288,4128768,477563,29069,903,35,0,49152,3,3,/input/data/work/f2/33f7bcbae3fc37bffe7ef3608ad698,true,-
6,3412796995,-,hu-worker-c42,bd/db06ae,nf-bddb06aece050f19edb0fe9071972fda,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860319_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860319_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216524196,1715216526000,1715216526000,1804,136,-,63.3,0.0,3092480,4079616,3096576,4128768,476699,29068,903,35,0,49152,4,4,/input/data/work/bd/db06aece050f19edb0fe9071972fda,true,-
28,3324390410,-,hu-worker-c28,bd/ad03e8,nf-bdad03e88c1f5f7f787b83030aeda52f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19930930_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19930930_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216524335,1715216525000,1715216525000,665,154,-,62.5,0.0,2965504,4079616,2969600,4128768,477932,29068,903,35,0,49152,3,0,/input/data/work/bd/ad03e88c1f5f7f787b83030aeda52f,true,-
12,3329867673,-,hu-worker-c42,72/715d9c,nf-72715d9c2774e0acf455ca64d002e9c8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216524497,1715216526000,1715216526000,1503,135,-,71.3,0.0,2961408,4079616,2965504,4128768,476723,29086,903,35,0,49152,3,0,/input/data/work/72/715d9c2774e0acf455ca64d002e9c8,true,-
11,3336228177,-,hu-worker-c41,c4/5f0a76,nf-c45f0a76ca1236dcc8e4fe6071c99157,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900517_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900517_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216525013,1715216525000,1715216525000,-13,101,-,90.7,0.0,15474688,168202240,15482880,168251392,477432,29072,903,35,708608,49152,8,0,/input/data/work/c4/5f0a76ca1236dcc8e4fe6071c99157,true,-
24,3390766991,-,hu-worker-c35,b5/25cd06,nf-b525cd06f567fafc1f772f2cee018efe,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19920506_20200914_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19920506_20200914_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216525152,1715216526000,1715216526000,848,138,-,82.1,0.0,2957312,4079616,2961408,4128768,476608,29068,903,35,0,49152,3,3,/input/data/work/b5/25cd06f567fafc1f772f2cee018efe,true,-
5,3358340034,-,hu-worker-c24,04/08558a,nf-0408558a7bba7bc1b8cb09bfd7ffa1bc,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216525270,1715216526000,1715216526000,730,136,-,68.8,0.0,3088384,4079616,3092480,4128768,476920,29064,903,35,4194304,49152,3,3,/input/data/work/04/08558a7bba7bc1b8cb09bfd7ffa1bc,true,-
18,3366276797,-,hu-worker-c27,9f/f164d0,nf-9ff164d0f2a091ea22ebedba40edd76a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010107_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010107_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715216525414,1715216526000,1715216526000,586,194,-,58.8,0.0,3018752,4079616,3022848,4128768,477563,29069,903,35,0,49152,3,0,/input/data/work/9f/f164d0f2a091ea22ebedba40edd76a,true,-
