task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,4338,-,hu-worker-c34,db/9f3a3e,nf-db9f3a3e98244a5d6bfe03d07615d136,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1715257689966,1715257697000,1715257697000,7034,0,-,81.7,0.0,3301376,5640192,3301376,5644288,712141,4914,279,18,0,16384,2,2,/input/data/work/db/9f3a3e98244a5d6bfe03d07615d136,true,-
2,3147288982,-,hu-worker-c27,32/0ff874,nf-320ff874b8641d55bfb8a460c48755c5,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1715257690050,1715257692000,1715257704000,13950,11000,-,99.8,0.0,4857856,12550144,4857856,12554240,3147403087,5954,48261,20,0,16384,17,771,/input/data/work/32/0ff874b8641d55bfb8a460c48755c5,true,-
3,4063383142,-,hu-worker-c42,cb/9b8130,nf-cb9b8130f556f667716d23eb58ec29f0,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1715257690118,1715257693000,1715257705000,14882,10000,-,94.6,0.4,1174888448,1186750464,1174888448,1186754560,4064227866,838279371,496316,104481,0,838287360,186,1019,/input/data/work/cb/9b8130f556f667716d23eb58ec29f0,true,-
60,1396083675,-,hu-worker-c35,bb/4446b4,nf-bb4446b49691b4ffd3f50252d4f07d25,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698483,1715257707000,1715257771000,72517,63000,-,204.2,0.4,1182720000,5049425920,1192501248,5053501440,1417781962,3669184,2736062,11226,0,4243456,7,16,/input/data/work/bb/4446b49691b4ffd3f50252d4f07d25,true,-
12,1718442970,-,hu-worker-c42,6a/ff1165,nf-6aff1165e1a9b33c1fbc8dc0ce5ae68c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257699052,1715257700000,1715257777000,77948,76000,-,205.1,0.4,1183555584,5253910528,1183555584,5253914624,1740177466,3670762,3365686,11230,0,4341760,12,9,/input/data/work/6a/ff1165e1a9b33c1fbc8dc0ce5ae68c,true,-
42,2235235129,-,hu-worker-c42,de/73970c,nf-de73970c1e457599b5e59962da3fb0a7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698721,1715257699000,1715257798000,99279,98000,-,202.1,0.4,1193271296,5185748992,1216458752,5191208960,2256971744,3675331,4375044,11200,0,4423680,12,8,/input/data/work/de/73970c1e457599b5e59962da3fb0a7,true,-
9,2486687632,-,hu-worker-c27,b6/109f93,nf-b6109f930eeb2ecf7c1223136a5bdc00,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698593,1715257699000,1715257811000,112407,111000,-,203.0,0.4,1085935616,4833021952,1086152704,4900134912,2508431313,3693310,4866143,11395,0,4448256,10,1,/input/data/work/b6/109f930eeb2ecf7c1223136a5bdc00,true,-
4,2486687632,-,hu-worker-c34,de/ce1f19,nf-dece1f19286f61eff311a5a5e4512e48,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698635,1715257699000,1715257812000,113365,112000,-,202.9,0.5,1224396800,5049425920,1225822208,5053263872,2508584076,3693308,4866291,11269,0,4431872,12,0,/input/data/work/de/ce1f19286f61eff311a5a5e4512e48,true,-
45,2538241911,-,hu-worker-c41,09/25256e,nf-0925256eb8b9393c85c34ac444d89dce,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698676,1715257699000,1715257817000,118324,116000,-,202.4,0.4,1216380928,5185748992,1225797632,5190103040,2559987192,3690876,4966864,11261,0,4452352,4,0,/input/data/work/09/25256eb8b9393c85c34ac444d89dce,true,-
51,2522583655,-,hu-worker-c25,b6/da55d9,nf-b6da55d9e4c214c2d14737257f8ab514,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715257698520,1715257700000,1715257820000,121480,119000,-,201.4,0.4,1163538432,5049425920,1163808768,5049430016,2544321237,3679544,4936277,11251,0,4452352,12,2,/input/data/work/b6/da55d9e4c214c2d14737257f8ab514,true,-
